Date,Singer,Duet Format
2023-06-21,Neuro,v1
2023-07-05,Neuro,v1
2023-07-19,Evil,v1
2023-07-26,Neuro,v1
2023-08-01,Neuro,v1
2023-08-02,Neuro,v1
2023-08-11,Evil,v1
2023-08-16,Neuro,v1
2023-08-21,Neuro,v1
2023-08-30,Evil,v1
2023-09-03,Neuro,v1
2023-09-13,Neuro,v1
2023-09-21,Neuro,v1
2023-09-27,Neuro,v1
2023-10-11,Evil,v1
2023-10-28,Neuro,v1
2023-10-31,Neuro,v1
2023-11-05,Evil,v1
2023-11-08,Neuro,v1
2023-11-12,Neuro,v1
2023-11-22,Evil,v1
2023-12-06,Neuro,v1
2023-12-19,Neuro,v1
2023-12-21,Neuro,v1
2023-12-25,Neuro,v1
2024-02-28,Evil,v1
2024-03-20,Neuro,v1
2024-03-25,Evil,v1
2024-04-05,Evil,v1
2024-04-17,Neuro,v1
2024-05-01,Evil,v1
2024-05-15,Neuro,v1
2024-05-24,Neuro,v1
2024-05-29,Evil,v1
2024-06-12,Neuro,v1
2024-06-26,Neuro,v1
2024-07-10,Neuro,v1
2024-07-24,Evil,v1
2024-08-07,Neuro,v1
2024-08-21,Evil,v1
2024-09-04,Neuro,v1
2024-09-15,Neuro,v1
2024-09-18,Evil,v1
2024-10-06,Neuro,v1
2024-10-16,Evil,v1
2024-10-30,Neuro,v1
2024-11-13,Evil,v1
2024-11-27,Neuro,v1
2024-12-19,Neuro,v2v1
2024-12-25,Twins,v2v1
2024-12-30,Neuro,v2v1
2025-03-05,Evil,v2v1
2025-03-19,Neuro,v2v1
2025-03-25,Evil,v2
2025-04-02,Evil,v2
2025-04-16,Neuro,v2
2025-04-30,Evil,v2
2025-05-14,Neuro,v2
2025-05-28,Evil,v2
2025-06-11,Neuro,v2
2025-06-25,Evil,v2
2025-07-09,Neuro,v2
2025-07-23,Evil,v2
2025-08-06,Neuro,v2
2025-08-20,Twins,v2
2025-08-31,Neuro,v2
2025-09-03,Evil,v2
2025-09-17,Neuro,v2
2025-10-01,Evil,v2
2025-10-15,Neuro,v2
2025-10-29,Evil,v2
2025-11-12,Neuro,v2
2025-11-15,Neuro,v2
2025-11-26,Evil,v2
2025-12-02,Evil,v2
2025-12-19,Neuro,v2
2025-12-21,Evil,v2
2025-12-25,Neuro,v2
2025-12-27,Neuro,v2
2025-12-31,Evil,v2
2026-01-01,Neuro,v2
2026-01-03,Neuro,v2
2026-01-06,Neuro,v2
2026-01-07,Evil,v2
2026-01-08,Neuro,v2
2026-02-10,Neuro,v2
2026-02-18,Evil,v2
2026-03-04,Neuro,v2
2026-03-18,Evil,v2
2026-03-24,Neuro,v2
2026-04-01,Neuro,v2
2026-04-15,Evil,v2
2026-04-23,Evil,v2
2026-04-29,Neuro,v2
2026-05-05,Neuro,v2
2026-05-13,Evil,v2
2026-05-21,Evil,v2
2026-05-27,Neuro,v2
2026-06-10,Evil,v2
2026-06-16,Neuro,v2
2026-06-24,Neuro,v2
2026-07-02,Evil,v2
2026-07-08,Evil,v2
2026-07-11,Neuro,v2
2026-07-22,Neuro,v2
