id,Song,Artist,Song_ASCII,Artist_ASCII,Cover Artist,Date,Album,Album_ID,Image,File_IN,Hash_IN,Flags,Key,Tempo (1/4 beat),Version
0,Blinding Lights,The Weeknd,Blinding Lights,The Weeknd,Neuro [v1],2023-01-03,Neuro [v1] January Stream Songs,1,2023-Jan,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/001. The Weeknd - Blinding Lights (Neuro.v1).mp3,697601370f2aca57,v1;neuro;,,,1
1,Take On Me,a-ha,Take On Me,a-ha,Neuro [v1],2023-01-03,Neuro [v1] January Stream Songs,2,2023-Jan,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/002. a-ha - Take On Me (Neuro.v1).mp3,0e642ddc0161996d,v1;neuro;,,,1
2,Viva la Vida,Coldplay,Viva la Vida,Coldplay,Neuro [v1],2023-01-04,Neuro [v1] January Stream Songs,3,2023-Jan,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/003. Coldplay - Viva la Vida (Neuro.v1).mp3,7930ef2fb3d4c6d4,v1;neuro;,,,1
3,ゴーストルール (Ghost Rule),DECO*27,Ghost Rule,DECO 27,Neuro [v1],2023-01-05,Neuro [v1] January Stream Songs,4,2023-Jan,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/004. DECO_27 - ゴーストルール (Ghost Rule) (Neuro.v1).mp3,e2f7fffe869abf2e,v1;neuro;,,,1
4,money machine,100 gecs,money machine,100 gecs,Neuro [v1],2023-01-07,Neuro [v1] January Stream Songs,5,2023-Jan,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/005. 100 gecs - money machine (Neuro.v1).mp3,d700163cf4d77692,v1;neuro;,,,1
5,Still Alive,"Jonathan Coulton, Ellen McLain",Still Alive,"Jonathan Coulton, Ellen McLain",Neuro [v1],2023-01-08,Neuro [v1] January Stream Songs,6,2023-Jan,"songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/006. Jonathan Coulton, Ellen McLain - Still Alive (Neuro.v1).mp3",78bb77fbd218d106,v1;neuro;,,,1
6,Sad Machine,Porter Robinson,Sad Machine,Porter Robinson,Neuro [v1],2023-01-10,Neuro [v1] January Stream Songs,7,2023-Jan,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/007. Porter Robinson - Sad Machine (Neuro.v1).mp3,6e2aefbd4b65a5e7,v1;neuro;,,,1
7,Your Reality,"Dan Salvato, Jillian Ashcraft",Your Reality,"Dan Salvato, Jillian Ashcraft",Neuro [v1],2023-01-25,Neuro [v1] January Stream Songs,8,2023-Jan,"songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/008. Dan Salvato, Jillian Ashcraft - Your Reality (Neuro.v1).mp3",56439c181f3b4b08,v1;neuro;,,,1
8,Never Gonna Give You Up (short),Rick Astley,Never Gonna Give You Up (short),Rick Astley,Neuro [v1],2023-01-25,Neuro [v1] January Stream Songs,9,2023-Jan,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/009. Rick Astley - Never Gonna Give You Up (short) (Neuro.v1).mp3,3acfda2eb2cb3cae,v1;neuro;,,,1
9,オドループ (oddloop),Frederic,oddloop,Frederic,Neuro [v1],2023-01-27,Neuro [v1] January Stream Songs,10,2023-Jan,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/010. Frederic - オドループ (oddloop) (Neuro.v1).mp3,eab8191a71ae6ecb,v1;neuro;,,,1
