date,duet count,Neuro Mic,Evil Mic,Neuro Outfit,Evil Outfit,Visualizer/Background,Singer-on-left,Singer-on-right
2023-06-21,0,pink accents,,v2,,,,
2023-06-22,1,pink accents,,v2,,,,
2023-07-05,1,pink accents,,v2,v2,,,
2023-07-19,3,,pink accents,v2,v2,,,
2023-07-26,0,pink accents,,v2 pirate,,,,
2023-08-01,0,pink accents,,v2,,,,
2023-08-02,3,pink accents,red accents,v2,v2,,,
2023-08-11,1,,pink accents,v2 pirate,v2 pirate,,,
2023-08-16,2,pink accents,red accents,v2,v2,,,
2023-08-21,0,pink accents,,v2,,,,
2023-08-30,3,pink accents,pink accents,v2,v2,,,
