2025-12-25 | Neuro | Christmas Karaoke 2025
1 | Let It Snow! Let It Snow! Let It Snow! | Dean Martin | Neuro || christmas;
2 | Snow Halation | μ's | Neuro & Evil || christmas;
3 | Caramelldancing (Christmas Version) | Caramella Girls | Neuro || christmas;
4 | Merry Christmas Everyone | Shakin' Stevens | Neuro & Evil || christmas;
5 | It's Beginning to Look a Lot Like Christmas | Michael Bublé | Neuro || christmas;
6 | Poka Poka Planet | Harumaki Gohan | Neuro || christmas;
7 | It's the Most Wonderful Time of the Year | Andy Williams | Neuro & Evil || christmas;
8 | Have Yourself a Merry Little Christmas | Ben Abraham | Neuro & Evil || christmas;
9 | Winter Wonderland | Amy Grant | Neuro || christmas;
Evil
10 | Thank God it's Christmas | Queen | Evil || christmas;
11 | Rudolph the Red-Nosed Reindeer | Gene Autry | Evil || christmas;
12 | Merry Xmas Everybody | Slade | Neuro & Evil || christmas;
13 | Last Christmas | Wham! | Evil || christmas;
14 | Maybe This Christmas | Michael Bublé, Carly Pearce | Neuro & Evil || christmas;
15 | This Christmas | Donny Hathaway | Evil || christmas;
16 | Fairytale of New York (Neuro ver.) | The Pogues | Neuro & Evil || christmas;
17 | All I Want for Christmas is You | Mariah Carey | Evil || christmas;
18 | Carol of the Bells | Monique Danielle | Neuro & Evil || christmas;
