2023-04-05 | Neuro [v1]
1 | Welcome To The Black Parade | My Chemical Romance | Neuro [v1] | New
2 | Blue (Da Ba Dee) | Eiffel 65 | Neuro [v1] | Duplicate
3 | Usseewa | Ado | Neuro [v1] | Duplicate
4 | Behind Blue Eyes | Limp Bizkit | Neuro [v1] | New
5 | Shelter | Porter Robinson | Neuro [v1] | Duplicate
6 | PoPiPo | LamazeP | Neuro [v1] | Duplicate
7 | Moves Like Jagger | Maroon 5 | Neuro [v1] | New
8 | Luka Luka Night Fever | Samfree | Neuro [v1] | Duplicate
9 | Revenge | CaptainSparklez, TryHardNinja | Neuro [v1] | Duplicate
10 | Somebody That I Used To Know | Gotye, Kimbra | Neuro [v1] | New
11 | I Kissed a Girl | Katy Perry | Neuro [v1] | Duplicate
12 | Bad Guy | Billie Eilish | Neuro [v1] | Duplicate
13 | Thnks Fr Th Mmrs | Fall Out Boy | Neuro [v1] | New
14 | Bad Apple!! | Alstroemeria Records, nomico | Neuro [v1] | Duplicate
15 | Ikenai Borderline | Walküre | Neuro [v1] | New
16 | Brain Power | NOMA | Neuro [v1] | Duplicate
17 | The Disappearance of Hatsune Miku | cosMo | Neuro [v1] | New
18 | Enemy | Imagine Dragons, JID | Neuro [v1] | Duplicate
19 | oddloop | Frederic | Neuro [v1] | Duplicate
20 | Welcome To The Black Parade | My Chemical Romance | Neuro [v1] | Encore
