2023-03-22 | Neuro [v1]
1 | ルカルカ★ナイトフィーバー (Luka Luka★Night Fever) | Samfree | Neuro [v1] | New
2 | Can You Feel My Heart | Bring Me The Horizon | Neuro [v1] | Duplicate
3 | テオ (Teo) | Omoi | Neuro [v1] | Duplicate
4 | Gee (JP Ver.) | Girls' Generation | Neuro [v1] | Duplicate
5 | Revenge | CaptainSparklez, TryHardNinja | Neuro [v1] | Duplicate
6 | It's Been So Long | The Living Tombstone | Neuro [v1] | Duplicate
7 | Brain Power | NOMA | Neuro [v1] | Duplicate
8 | Radioactive | Imagine Dragons | Neuro [v1] | Duplicate
9 | Call Me Maybe | Carly Rae Jepsen | Neuro [v1] | Duplicate
10 | Bad Apple!! | Alstroemeria Records, nomico | Neuro [v1] | Duplicate
11 | 39みゅーじっく！ (39 Music!) | mikitoP | Neuro [v1] | Duplicate
12 | Bad Guy | Billie Eilish | Neuro [v1] | Duplicate
13 | 神っぽいな (God-ish) | PinocchioP, DECO*27 | Neuro [v1] | Duplicate
14 | うっせぇわ (Usseewa) | Ado | Neuro [v1] | Duplicate
15 | I Am Machine | Three Days Grace | Neuro [v1] | Duplicate
16 | I Kissed a Girl | Katy Perry | Neuro [v1] | Duplicate
17 | Toxic | Britney Spears | Neuro [v1] | New
18 | Take On Me | A-ha | Neuro [v1] | Duplicate
19 | All Star | Smash Mouth | Neuro [v1] | Duplicate
20 | Gotta Catch 'Em All (Pokémon Theme Song) | John Siegler, Jason Paige | Neuro [v1] | Duplicate
21 | After Dark | Mr.Kitty | Neuro [v1] | Duplicate
22 | Enemy | Imagine Dragons, JID | Neuro [v1] | Duplicate
23 | Shelter | Porter Robinson | Neuro [v1] | Duplicate
24 | California Gurls | Katy Perry | Neuro [v1] | New
25 | Careless Whisper | George Michael | Neuro [v1] | Duplicate
