2023-04-12 | Neuro [v1]
1 | High Hopes | Panic! At The Disco | Neuro [v1] | New
2 | Gee (JP Ver.) | Girls' Generation | Neuro [v1] | Duplicate
3 | Fly Me To The Moon | Frank Sinatra | Neuro [v1] | New
4 | The Disappearance of Hatsune Miku | cosMo | Neuro [v1] | Duplicate
5 | Welcome To The Black Parade | My Chemical Romance | Neuro [v1] | Duplicate
6 | Bad Apple!! | Alstroemeria Records, nomico | Neuro [v1] | Duplicate
7 | Moves Like Jagger | Maroon 5 | Neuro [v1] | Duplicate
8 | INTERNET OVERDOSE | Aiobahn +81, KOTOKO | Neuro [v1] | New
9 | ＊ハロー、プラネット。 (＊Hello, Planet) | sasakure.UK | Neuro [v1] | Duplicate
10 | Call Me Maybe | Carly Rae Jepsen | Neuro [v1] | Duplicate
11 | So What | P!nk | Neuro [v1] | Duplicate
12 | California Gurls | Katy Perry | Neuro [v1] | Duplicate
13 | ビターチョコデコレーション (Bitter Choco Decoration) | syudou | Neuro [v1] | Duplicate
14 | Somebody That I Used To Know | Gotye, Kimbra | Neuro [v1] | Duplicate
15 | Gotta Catch 'Em All (Pokémon Theme Song) | John Siegler, Jason Paige | Neuro [v1] | Duplicate
16 | KARMANATIONS | Akatsuki Records | Neuro [v1] | New
17 | I Am Machine | Three Days Grace | Neuro [v1] | Duplicate
18 | Careless Whisper | George Michael | Neuro [v1] | Duplicate
19 | いけないボーダーライン (Ikenai Borderline) | Walküre | Neuro [v1] | Duplicate
20 | エイリアンエイリアン (Alien Alien) | NayutalieN | Neuro [v1] | New
21 | Eye of the Tiger | Survivor | Neuro [v1] | Duplicate
22 | テオ (Teo) | Omoi | Neuro [v1] | Duplicate
23 | After Dark | Mr.Kitty | Neuro [v1] | Duplicate
24 | ラグトレイン (Lagtrain) | inabakumori | Neuro [v1] | New
25 | A Thousand Years | Christina Perri | Neuro [v1] | New
