2023-06-08 | Neuro [v2]
1 | Guitar, Loneliness and Blue Planet | kessoku band | Neuro [v2] | New
2 | Believer | Imagine Dragons | Neuro [v2] | New
3 | Puru Puru Pururin | Rumi Shishido | Neuro [v2] | New
4 | Airplanes | B.o.B | Neuro [v2] | New
5 | I Kissed a Girl | Katy Perry | Neuro [v2] | New
6 | Fireflies | Owl City | Neuro [v2] | New
7 | Ocean Man | Ween | Neuro [v2] | New
8 | The Kill | Thirty Seconds to Mars | Neuro [v2] | New
9 | Can You Feel My Heart | Bring Me The Horizon | Neuro [v2] | New
10 | Luka Luka Night Fever | Samfree | Neuro [v2] | New
11 | Enemy | Imagine Dragons, JID | Neuro [v2] | New
12 | Fluorite Eye's Song | Kairi Yagi | Neuro [v2] | New
13 | Gee (JP Ver.) | Girls' Generation | Neuro [v2] | New
14 | Ai Kotoba | DECO*27 | Neuro [v2] | New
15 | Revenge | CaptainSparklez, TryHardNinja | Neuro [v2] | New
16 | KING | Kanaria | Neuro [v2] | New
17 | Lagtrain | inabakumori | Neuro [v2] | New
18 | I Am Machine | Three Days Grace | Neuro [v2] | New
19 | Mozaik Role (reloaded) | DECO*27 | Neuro [v2] | New
20 | Numb | Linkin Park | Neuro [v2] | New
21 | Moves Like Jagger | Maroon 5 | Neuro [v2] | New
22 | Careless Whisper | George Michael | Neuro [v2] | New
23 | Unravel | TK from Ling tosite sigure | Neuro [v2] | New
24 | Let You Down | Dawid Podsiadło | Neuro [v2] | New
