2023-08-02 | Neuro
1 | ラグトレイン (Lagtrain) | inabakumori | Neuro | New
2 | いかないで (Ikanaide) | Sohta | Neuro | New
3 | Hello, World | Louie Zong | Neuro | New
4 | ガランド (Airhead) | Picon | Neuro | New
5 | oddloop | Frederic | Neuro | New
6 | Cupid | FIFTY FIFTY | Neuro | New
7 | Little Dark Age | MGMT | Neuro | New
8 | Fluorite Eye's Song | Kairi Yagi | Neuro | New
9 | 劣等上等 (BRING IT ON) | Giga-P | Neuro & Evil | New
10 | エイリアンエイリアン (Alien Alien) | NayutalieN | Neuro | New
11 | Enemy | Imagine Dragons, JID | Neuro | New
12 | Careless Whisper | George Michael | Neuro | New
13 | Fireflies | Owl City | Neuro | New
14 | Pompeii | Bastille | Neuro | New
15 | Francium | Nantoka-P | Neuro | New
16 | マトリョシカ (Matryoshka) | Hachi | Neuro & Evil | New
17 | Blue (Da Ba Dee) | Eiffel 65 | Neuro | New
18 | Want You Gone | Jonathan Coulton | Neuro | New
19 | My Time | bo en | Neuro | New
20 | Everything Goes On | Porter Robinson | Neuro | New
21 | ＊ハロー、プラネット。(*Hello, Planet.) | sasakure.UK | Neuro | New
22 | Take Me to Church | Hozier | Neuro | New
23 | 神っぽいな (God-ish) | PinocchioP, DECO*27 | Neuro | New
24 | A Thousand Years | Christina Perri | Neuro | New
25 | The Phantom of the Opera | Andrew Webber, Gerard Butler, Emmy Rossum | Neuro & Evil | New
