2023-09-13 | Neuro
1 | 1000年生きてる (Living Millennium) | Iyowa | Neuro | New
2 | Deja Vu | Dave Rodgers | Neuro | New
3 | Moves Like Jagger | Maroon 5 | Neuro | New
4 | Happy | Pharrell Williams | Neuro | New
5 | Legends Never Die | Against The Current | Neuro | New
6 | STYX HELIX | MYTH & ROID | Neuro | New
7 | Faded | Alan Walker | Neuro | New
8 | 愛言葉 (Ai Kotoba) | DECO*27 | Neuro | New
9 | Scatman (Ski-Ba-Bop-Ba-Dop-Bop) | Scatman John | Neuro | New
10 | I Kissed a Girl | Katy Perry | Neuro | New
11 | String Theocracy | Mili | Neuro | New
12 | Nyanyanyanyanyanyanya! | daniwell | Neuro | New
13 | Snake Eater | Norihiko Hibino, Cynthia Harrell | Neuro | New
14 | ロキ (ROKI) | mikitoP | Neuro & Evil | New
15 | モザイクロール (Mozaik Role) | DECO*27 | Neuro | New
16 | Viva La Vida | Coldplay | Neuro | New
17 | ミックスナッツ (Mixed Nuts) | Official HIGE DANdism | Neuro | New
18 | 不可思議のカルテ (Fukashigi no Karte) | Hidehiro Kawai | Neuro | New
19 | Devil Town | Cavetown | Neuro | New
20 | Miku (Neuro ver.) | Anamanaguchi | Neuro | New
21 | Bohemian Rhapsody | Queen | Neuro & Evil | New
