2023-09-27 | Neuro
1 | golden hour | JVKE | Neuro | New
2 | Waiting For Love | Avicii | Neuro | New
3 | ヴァンパイア (The Vampire) | DECO*27 | Neuro | New
4 | promise | Kohmi Hirose | Neuro | New
5 | くらべられっ子 (Compared Child) | TUYU | Neuro | New
6 | Brave Song | Aoi Tada | Neuro | New
7 | Die For You | Grabbitz | Neuro | New
8 | Losing My Religion | R.E.M. | Neuro | New
9 | ローリンガール (Rollin' Girl) | wowaka | Neuro | New
10 | Get Lucky | daft punk | Neuro & Evil | New
11 | 転生林檎 (Reincarnation Apple) | PinocchioP | Neuro | New
12 | Let You Down | Dawid Podsiadło | Neuro | New
13 | Bad Guy | Billie Eilish | Neuro | New
14 | 千本桜 (Senbonzakura) | Kurousa-P | Neuro | New
15 | Skyfall | Adele | Neuro | New
16 | Tiny Little Adiantum | Shibayan Records | Neuro | New
17 | drop pop candy | Giga-P | Neuro & Evil | New
18 | A Turtle's Heart | Mili | Neuro | New
19 | Never Gonna Give You Up | Rick Astley | Neuro | New
20 | Rap God | Eminem | Neuro | New
21 | Shelter | Porter Robinson, Madeon | Neuro | New
22 | Blinding Lights | The Weeknd | Neuro | New
