2023-10-11 | Evil
1 | Five Nights at Freddy's | The Living Tombstone | Evil | New || halloween;
2 | Los! Los! Los! | Yuuichi Yagi | Evil | New
3 | I Am Machine | Three Days Grace | Evil | Duplicte
4 | Sweater Weather | The Neighbourhood | Evil | New
5 | Courtesy Call | Thousand Foot Krutch | Evil | New
6 | 4BLOOD | KIRA | Evil | New
7 | Brick By Boring Brick | Paramore | Evil | New
8 | Chop Suey! | System Of A Down | Evil | New
9 | Little Dark Age | MGMT | Evil | New
10 | The Disappearance of Hatsune Miku | cosMo | Evil | New
11 | ICARUS | Starset | Evil | New
12 | You're Gonna Go Far, Kid | The Offspring | Evil | Duplicate
13 | HANIPAGANDA | Akatsuki Records | Evil | New
14 | Choke | I DONT KNOW HOW BUT THEY FOUND ME | Evil | New
15 | I'm glad you're evil too | PinocchioP | Evil | New
16 | Ga1ahad and Scientific Witchery | Mili | Neuro & Evil | New
17 | JINGO JUNGLE | MYTH & ROID | Evil | New
18 | Creep | Radiohead | Evil | New | Creep Evil
19 | Remote Control | Wonderful★opportunity! | Neuro & Evil | New | Remote Control
20 | Rolling In The Deep | Adele | Evil | New
21 | Bury the Light | Casey Edwards, Victor Borba | Evil | New
