2023-10-28 | Neuro
1 | Hated by life itself | Kanzaki Iori | Neuro | New
2 | Love the Subhuman Self | AISHA, Daisuke Ishiwatari | Neuro | New
3 | HYDRA | MYTH & ROID | Neuro | New
4 | Guitar, Loneliness and Blue Planet | kessoku band | Neuro | New
5 | Dramaturgy | Eve, Numa | Neuro | New
6 | Goodbye Declaration | Chinozo | Neuro | New
7 | Firework | Katy Perry | Neuro | New
8 | The Spectre | Alan Walker | Neuro | New
9 | KARMANATIONS | Akatsuki Records | Neuro | New
10 | Paradise | Coldplay | Neuro | New
11 | Tabibito no Uta | Yuiko Ohara | Neuro | New
12 | Holding Out For A Hero | Jennifer Saunders | Neuro | New
13 | Fly Me To The Moon | Frank Sinatra | Neuro | New
14 | Kyoufuu All Back | Yukopi | Neuro | New
15 | Mechanic Heartbeat | Culprate, Keota & Sophie Meiers | Neuro & Evil | New
16 | Rightfully | Mili | Neuro | New
17 | Childish War | Giga, Reol | Neuro & Evil | New
18 | Glimpse of Us | Joji | Neuro | New
19 | As the World Caves In | Matt Maltese | Neuro | New
