2023-11-08 | Neuro
1 | KING | Kanaria | Neuro | New
2 | Shut Up and Dance | WALK THE MOON | Neuro | New
3 | Lost Umbrella | inabakumori | Neuro | New
4 | Two-Faced Lovers | wowaka | Neuro | New
5 | Lone Digger | Caravan Palace | Neuro | New
6 | slash | x0o0x | Neuro | New
7 | Kimi no Shiranai Monogatari | Supercell | Neuro | New
8 | Brain Power | NOMA | Neuro | New
9 | Camelia | Mili | Neuro | New
10 | This game | Konomi Suzuki | Neuro | New
11 | Somebody That I Used To Know | Gotye, Kimbra | Neuro & Evil | New
12 | Virtual Insanity | Jamiroquai | Neuro | New
13 | Mad World | Gary Jules | Neuro | New
14 | 1, 2, Fanclub | mikitoP | Neuro & Evil | New
15 | Wonderwall | Oasis | Neuro | New
16 | Mr. Brightside | The Killers | Neuro | New
17 | Out of Touch | Hall & Oates | Neuro | New
