2023-11-22 | Evil
1 | Going Under | Evanescence | Evil | New
2 | Again | Crusher | Evil | New
3 | Bad Romance | Lady Gaga | Evil | New
4 | O Light | Kikuo | Evil | New
5 | Centuries | Fall Out Boy | Evil | New
6 | I Can't Fix You | The Living Tombstone | Evil | New
7 | Ikenai Borderline | Walküre | Evil | New
8 | It's My Life | Bon Jovi | Evil | New
9 | Lost One's Weeping | Neru | Evil | New
10 | My Time | bo en | Evil | New
11 | Poems of a Machine | Mili | Evil | New
12 | Happier | YUNGBLUD, Oli Sykes | Neuro & Evil | New
13 | RRRRafflesia | Utsu-P | Evil | New
14 | Hey Jude | The Beatles | Evil | New
15 | Stranger | Silent Hearts | Evil | New
16 | CH4NGE | Giga | Evil | New
17 | Dadadadadadadadadada | Hige Driver Join. SELEN | Evil | New
18 | GETCHA! | Giga, KIRA | Neuro & Evil | New
19 | The Kill | Thirty Seconds to Mars | Evil | New
20 | Miku (Evil ver.) | Anamanaguchi | Evil | New
21 | Snake Eater | Norihiko Hibino, Cynthia Harrell | Evil | New
22 | Wicked Game | Chris Isaak | Evil | New
23 | Titanium | David Guetta, Sia | Evil | New
24 | Going Under | Evanescence | Evil | Encore
