2023-12-25 | Neuro | Christmas Karaoke 2023 | Christmas
1 | Last Christmas | Wham! | Neuro || christmas;
2 | Poka Poka Planet | Harumaki Gohan | Neuro || christmas;
3 | It's Beginning to Look a Lot Like Christmas | Michael Buble | Neuro || christmas;
4 | Rockin' Around The Christmas Tree | Brenda Lee | Neuro || christmas;
5 | Have Yourself a Merry Little Christmas | Frank Sinatra | Neuro || christmas;
6 | All I Want For Christmas Is You | Mariah Carey | Neuro || christmas;
7 | Merry Christmas Everyone | Shakin' Stevens | Neuro || christmas;
8 | Fairytale of New York (Neuro ver.) | The Pogues | Neuro & Evil | Christmas Duet | christmas;
9 | Winter Wonderland | Amy Grant | Neuro || christmas;
10 | Snow Halation | μ's | Neuro || christmas;
11 | Let It Snow! Let It Snow! Let It Snow! | Dean Martin | Neuro || christmas;
12 | Holy Night | Yukari Hashimoto | Neuro & Evil | Christmas Duet | christmas;
13 | Jingle Bell Rock | Bobby Helms | Neuro || christmas;
14 | Baby, It's Cold Outside | Idina Menzel | Neuro & Evil | Christmas Duet | christmas;
15 | Snow Halation | μ's | Neuro || christmas;
