2024-03-20 | Neuro
1 | Pretender | Official HIGE DANdism | Neuro | New
2 | Digital Girl | KIRA | Neuro | New
3 | Eye Of The Tiger (Neuro ver.) | Survivor | Neuro | New
4 | A Thousand Miles | Vanessa Carlton | Neuro | New
5 | I'm glad you're evil too | Pinocchio-P | Neuro | New
6 | Want You Gone | Jonathan Coulton | Neuro | New
7 | Last Night, Good Night | kz-Livetune | Neuro | New
8 | Dancin | Aaron Smith | Neuro | New
9 | Phony | Tsumiki | Neuro | New
10 | Safe and Sound | Capital Cities | Neuro & Evil | New
11 | RTRT | Mili | Neuro | New
12 | The Intense Voice of Hatsune Miku | cosMo | Neuro | New
13 | Set Fire to the Rain | Adele | Neuro | New
14 | Hikaru Nara | Goose House | Neuro & Evil | New
15 | My Heart Will Go On | Celine Dion | Neuro | New
16 | Nuclear | Mike Oldfield | Neuro | New
17 | Glassy Sky | Yutaka Yamada | Neuro | New
18 | Lilium | Kumiko Noma | Neuro | New
19 | Cheerleader | Porter Robinson | Neuro | New
