2024-05-29 | Evil
1 | Gasoline | Halsey | Evil | New
2 | Playground | Bea Miller | Evil | New
3 | Alien Alien | Nayutalien | Evil | New
4 | Off With Her Head | Icon For Hire | Evil | New
5 | Don't You Dare Forget the Sun | Get Scared | Evil | New
6 | Neurotic | Three Days Grace | Evil | New
7 | Middle Finger | Bohnes | Evil | New
8 | Bacterial Contamination | mathru | Evil | New
9 | Vandalize | ONE OK ROCK | Evil | New
10 | Stay With Me | Miki Matsubara | Evil | New
11 | Duvet | Boa | Evil | New
12 | Sandstorm | Darude | Evil | New
13 | HIBANA | DECO 27 | Evil | New
14 | Smooth Criminal | Alien Ant Farm | Evil | New
15 | KICK BACK | Kenshi Yonezu | Evil | New
16 | Boulevard Of Broken Dreams | Green Day | Evil | New
17 | iGhost | MNQN | Evil | New
18 | Angel With A Shotgun | The Cab | Evil | New
19 | Set Fire to the Rain | Adele | Evil | New
20 | Last Night, Good Night | kz-Livetune | Evil | New
21 | Bring Me To Life (Bread) | Evanescence | Neuro & Evil | New
