2024-06-26 | Evil
1 | Compass | Mili | Evil | New
2 | Crushcrushcrush | Paramore | Evil | New
3 | Die For You | Grabbitz | Evil | New
4 | Domestic Drastic | Eye | Evil | New
5 | Terminal | Reliqa | Evil | New
6 | Everglow | STARSET | Evil | New
7 | God-ish | Pinocchio-P | Evil | New
8 | Wonderwall | Oasis | Evil | New
9 | / / // / / | x0o0x | Evil | New
10 | Numb | Linkin Park | Evil | New
11 | Quixote | AHUB | Evil | New
12 | Nuclear | Mike Oldfield | Evil | New
13 | Dangerous | Within Temptation | Neuro & Evil | New
14 | You Know My Name | Chris Cornell | Evil | New
15 | Glassy Sky | Yutaka Yamada | Evil | New
16 | Tengaku | Yuuyu-P | Neuro & Evil | New
17 | It Has To Be This Way | Jamie Christopherson | Evil | New
18 | My Immortal | Evanescence | Evil | New
