2024-08-07 | Neuro
1 | Rude | MAGIC! | Neuro | New
2 | All Star | Smash Mouth | Neuro | New
3 | Xue Miao Jiao | Xiao Pan Pan & Xiao Feng Feng | Neuro & Evil | New
4 | Gate of Steiner | Eri Sasaki | Neuro | New
5 | Rockefeller Street | Getter Jaani | Neuro | New
6 | Mixed Nuts | Official HIGE DANdism | Neuro | New
7 | Thank You | Dido | Neuro | New
8 | GHOST | Hoshimachi Suisei | Neuro | New
9 | It's My Life | Bon Jovi | Neuro | New
10 | Orange | 7!! | Neuro | New
11 | What Was I Made For (Sad Cat Ver.) | Billie Eilish | Neuro | New
12 | Wink | Azari | Neuro | New
13 | Zero Talking | Harumaki Gohan | Neuro | New
14 | Lights | Ellie Goulding | Neuro | New
15 | Bad Apple | Alstroemeria Records, nomico | Neuro | New
16 | Easier to Love You | Porter Robinson | Neuro | New
17 | Nightcall | Kavinsky | Neuro | New
18 | Sweet Dreams | Eurythmics | Neuro & Evil | New
19 | Wonderwall | Oasis | Neuro | Duplicate
