2024-10-16 | Evil
1 | VIRUS | GEN.KLOUD | Evil | New | Virus
2 | BLOODY STREAM | Coda | Evil | New
3 | Bullet With Butterfly Wings | The Smashing Pumpkins | Evil | New
4 | Diggy Diggy Hole | Wind Rose | Evil | New
5 | Silhouette | KANA-BOON | Evil | New
6 | Bugs | Ellie Minibot | Evil | New
7 | Head Like A Hole | Nine Inch Nails | Evil | New
8 | Castle of Glass | Linkin Park | Evil | New
9 | Override | Yoshida Yasei | Evil | New
10 | Warriors | Imagine Dragons | Evil | New
11 | Don't Stop Me Now | Queen | Evil | New
12 | INTERGALACTIA | KIRA | Evil | New
13 | Find Your Flame | Tomoya Ohtani | Neuro & Evil | New
14 | Writing on the Wall | Will Stetson | Evil | New
15 | It's Terror Time Again | Skycylce | Evil | New
16 | RuLe | Ado | Evil | New
17 | Paradise (What About Us) | Within Temptation | Neuro & Evil | New
18 | The Fox | Ylvis | Evil | New
19 | VIRUS | GEN.KLOUD | Evil | Encore | Virus
