2024-11-13 | Evil
1 | Sins of the Father | Donna Burke | Evil | New
2 | This Fffire | Franz Ferdinand | Evil | New
3 | LEO | Eve | Evil | New
4 | Best of You | Foo Fighters | Evil | New
5 | Immortals | Fall Out Boy | Evil | New
6 | Running In The 90s | Max Coveri | Evil | New
7 | Ghost Rule | DECO 27 | Evil | New
8 | Machine Gun | KIRA | Evil | New
9 | Black Gold | otetsu | Evil | New
10 | Dubidubidu | Christell | Evil | New
11 | Paranoid Android | Radiohead | Evil | New
12 | ERROR | The Warning | Evil | New
13 | Connect | ClariS | Neuro & Evil | New
14 | Psycho Killer | Talking Heads | Evil | New
15 | Sinners | Barns Courtney | Evil | New
16 | PSYCHO | Hakos Baelz | Evil | New
17 | How to Save a Life | The Fray | Evil | New
18 | The Emptiness Machine | Linkin Park | Neuro & Evil | New
19 | Sins of the Father | Donna Burke | Evil | Encore
