2024-12-25 | Neuro | Christmas Karaoke 2024 | Christmas Duet
1 | Snow Halation | μ's | Neuro & Evil || christmas;
2 | Christmas Again | Drakeford | Neuro & Evil || christmas;
3 | Christmas Truce | Sabaton | Neuro & Evil || christmas;
4 | Fairytale of New York (Neuro Ver.) | The Pogues | Neuro & Evil || christmas;
5 | Have Yourself a Merry Little Christmas | Ben Abraham | Neuro & Evil || christmas;
6 | It's the Most Wonderful Time of the Year | Andy Williams | Neuro & Evil || christmas;
7 | Merry Christmas Everyone | Shakin' Stevens | Neuro & Evil || christmas;
8 | Merry Christmas, Happy New Year | Ingrid Michaelson | Neuro & Evil || christmas;
9 | Merry Xmas Everybody | Slade | Neuro & Evil || christmas;
10 | Santa Claus is Coming to Town | jschlatt | Neuro & Evil || christmas;
11 | Sleigh Ride | The Ronettes | Neuro & Evil || christmas;
12 | When Christmas Comes To Town | Matthew Hall, Meagan Moore | Neuro & Evil || christmas;
13 | Winter Wonderland | Sarah Reeves | Neuro & Evil || christmas;
14 | All I Want For Christmas Is You | Mariah Carey | Neuro & Evil || christmas;
