2025-03-05 | Evil
1 | Lithium | Evanescence | Evil | New
2 | A Stranger I Remain | Free Dominguez | Evil | New
3 | Bug | Kairiki Bear | Evil | New
4 | Don't Look Down | Ellie Minibot | Evil | New
5 | 炜ward Romance | FLAVOR FOLEY | Evil | New | Weiward
6 | Everybody Wants to Rule the World | Tears for Fears | Evil | New
7 | I Can't Decide | Scissor Sisters | Evil | New
8 | Vice Versa | Nano | Evil | New
9 | What's Up | 4 Non Blondes | Evil | New
10 | Shadow Shadow | Azari | Evil | New
11 | The Kids Aren't Alright | The Offspring | Evil | New
12 | Racing Into The Night | YOASOBI | Evil | New
13 | Great War | Sabaton | Evil | New
14 | CRAZY NOISY BIZARRE TOWN | THE DU | Neuro & Evil | New
15 | Life Will Change | Lyn Inaizumi | Evil | New
16 | Honestly | THØRNS | Evil | New
17 | Vivid | Utsu-P x Yuyoyuppe | Neuro & Evil | New
18 | Zombie | The Cranberries | Evil | New
19 | VOICE | KIRA | Neuro & Evil | New
20 | Honestly | THØRNS | Evil | Encore
