2025-05-28 | Evil
1 | Since U Been Gone | Kelly Clarkson | Evil | New
2 | I Will Survive | Gloria Gaynor | Evil | New
3 | 4 00 A.M. | Taeko Ohnuki | Evil | New
4 | Black Hole Sun | Soundgarden | Evil | New
5 | Unfriendly Hater | Meddmia | Neuro & Evil | New
6 | Fires of War | Kelli Schaefer | Evil | New
7 | Dramaturgy | Eve | Evil | New
8 | Take Me Home, Country Roads | John Denver | Evil | New
9 | Is it Really You | Loathe | Evil | New
10 | Non-Breath Oblige | Pinocchio-P | Evil | New
11 | (O)rdinary | Avenged Sevenfold | Evil | New
12 | Like a Stone | Audioslave | Evil | New
13 | Stardust Utopia | otetsu | Evil | New
14 | Still Loving You | Scorpions | Evil | New
15 | Control | Halsey | Evil | New
16 | Sound of Silence | Simon & Garfunkel | Neuro & Evil | New
17 | Delete Me | Shallowsky | Evil | New
18 | can u see me in the dark | Haelstorm & Prevail | Neuro & Evil | New
