2025-06-25 | Evil
1 | Smells Like Teen Spirit | Nirvana | Evil | New
2 | Red Sun | Jamie Christopherson | Evil | New
3 | GAS GAS GAS | Manuel | Evil | New
4 | Jitter Doll | niki | Evil | New
5 | Robot Stop | King Gizzard & The Lizard Wizard | Evil | New
6 | Animals | Architects | Evil | New
7 | Metamachine | mekaloton | Evil | New
8 | Paint it, Black | The Rolling Stones | Evil | New
9 | My Favourite Game | The Cardigans | Evil | New
10 | BIBBIDIBA | Hoshimachi Suisei | Evil | New
11 | Chandelier | Sia | Evil | New
12 | Seven Nation Army | The White Stripes | Evil | New
13 | Americano | Lady Gaga | Evil | New
14 | All Falls Down | Alan Walker | Neuro & Evil | New
15 | Leia | Yuyoyuppe | Evil | New
16 | Blow Me Away | Breaking Benjamin | Neuro & Evil | New
17 | Knock Yourself Out XD | Porter Robinson | Evil | New | Knock yourself out
18 | Rad Rad | BPM15Q | Neuro & Evil | New
!! 19 | BOOM | Evil Neuro | Evil | New | Boom
