2025-09-17 | Neuro
1 | We Are The Champions | Queen | Neuro & Evil | New
2 | Take me hand | DAISHI DANCE | Neuro | New
3 | Big Iron | Marty Robbins | Neuro | New
4 | Thanks for being Lifeless | Pinocchio-P | Neuro | New
5 | Vs Sayu | James Landino | Neuro | New
6 | Riptide | Vance Joy | Neuro | New
7 | Jolene | Dolly Parton | Neuro | New
8 | Relay Outer | inabakumori | Neuro | New
9 | Shrimp Fried Rice! | Jamie Paige | Neuro | New
10 | Heaven Knows I'm Miserable Now | The Smiths | Neuro | New
11 | Who will know - furusato | Yoko Takahashi | Neuro | New
12 | dark things | STARSET | Neuro | New
13 | Wake Me Up When September Ends | Green Day | Neuro | New
14 | Unfold | Porter Robinson | Neuro & Evil | New
15 | I was human | Picon | Neuro | New
16 | Furthest Star | Dirt Poor Robins | Neuro | New
17 | atrophy | Monii | Neuro & Evil | New
18 | Kaleidoscope | Flower Face | Neuro | New
