2025-10-01 | Evil
1 | I Love Rock 'n Roll | Joan Jett & the Blackhearts | Evil | New
2 | House of Memories | Panic! At The Disco | Evil | New
3 | Necromantic | Akatsuki Records | Evil | New
4 | Paper Bouquet | Mili | Evil | New
5 | Big Time Rush | Big Time Rush | Neuro & Evil | New
6 | God Only Knows | bitbreaker | Evil | New
7 | Digital Girl | KIRA | Evil | New
8 | Hunting High and Low | A-Ha | Evil | New
9 | Watercolour | Pendulum | Evil | New
10 | After Dark | Mr. Kitty | Evil | New
11 | Girl on Fire | Alicia Keys | Evil | New
12 | Still Here | Digital Daggers | Evil | New
13 | Jane Doe | Kenshi Yonezu & Hikaru Utada | Neuro & Evil | New
14 | Let It Go | Idina Menzel | Evil | New
15 | Emergence | Sleep Token | Evil | New
16 | Clap Your Hands, Just Pray Right Here, Just Wish | THE SPELLBOUND | Evil | New
17 | In The End | Linkin Park | Neuro & Evil | New
18 | The Pretender | Infected Mushroom | Evil | New
