2025-10-29 | Evil
1 | Night of the Werewolves | Powerwolf | Evil | New
2 | Halloween of the Dead | Yura Hatsuki | Evil | New
3 | Somebody's Watching Me | Rockwell | Evil | New
4 | MASSACRE | SKARS | Evil | New
5 | This Is Halloween | Marilyn Manson | Neuro & Evil | New
6 | Turn The Lights Off | Tally Hall | Evil | New
7 | Jill-o'-Lantern | LadyMonsters | Evil | New
8 | Wicked | Crusher | Evil | New
9 | Dead Walk | Redhook | Evil | New
10 | Smoke and Mirrors | Jayn | Evil | New
11 | Crazy Scary Holy Fantasy | MYTH & ROID | Evil | New
12 | Ghostbusters | Ray Parker Jr. | Neuro & Evil | New
13 | Season of the Witch | Donovan | Evil | New
14 | bury a friend | Billie Eilish | Neuro & Evil | New
15 | Spowoky Owoky Pumpkin | Senzawa | Evil | New
16 | Evil Eye | Franz Ferdinand | Evil | New
17 | Sweet Dreams | Aviators | Evil | New
18 | Time Belongs to Us | Darren Korb | Neuro & Evil | New
