2025-11-12 | Neuro
1 | Marigold | M2U | Neuro | New
2 | Iron Lotus | Mili | Neuro | New
3 | Patchwork Staccato | Toa | Neuro | New
4 | Wolves Without Teeth | Of Monsters and Men | Neuro & Evil | New
5 | Gentle On My Mind | Glen Campbell | Neuro | New
6 | With or Without You | U2 | Neuro | New
7 | Shut up and dance | WALK THE MOON | Neuro | New
8 | Tiny Little Adiantum | Shibayan Records | Neuro | New
9 | DAMIDAMI | HOYO-MiX | Neuro & Evil | New
10 | The Less I Know The Better | Tame Impala | Neuro | New
11 | Symbiosis | The 1999 | Neuro | New
12 | Circles | KIRA | Neuro | New
13 | Imaginary Arcadia | nayuta | Neuro | New
14 | The Chain | Fleetwood Mac | Neuro & Evil | New
15 | Time to Pretend | MGMT | Neuro | New
16 | The Mechanical Girl | Aurelio Voltaire | Neuro | New
17 | Russian Roulette | Porter Robinson | Neuro | New
18 | Von | Pretty Patterns | Neuro | New
