2025-11-26 | Evil
1 | Ladylike | KIRA | Evil | New
2 | you're not gone, you're just dead! | VIOLENT VIRA | Evil | New
3 | Sl0t | Mili | Evil | New
4 | Hysteria | Muse | Evil | New
5 | As Above, So Below | Cryoshell, Essenger | Neuro & Evil | New
6 | Scattered Glass | cillia | Evil | New
7 | Black Sheep | Metric | Evil | New
8 | The Final Countdown | Europe | Evil | New
9 | In The Garden | Red Vox | Evil | New
10 | Monster Made of Memories | Citizen Soldier | Evil | New
11 | 愛属性 (Love Attribute) | PinocchioP, Yaduki | Evil | New
12 | I Can't Fix You | The Living Tombstone | Evil | New
13 | (Don't Fear) The Reaper | Blue Oyster Cult | Neuro & Evil | New
14 | Harlequin Contraption | Vane Lily | Evil | New
15 | THE GREATEST LIVING SHOW | Itoki Hana, Toby Fox | Evil | New
16 | Problems | ALTERCLAD | Evil | New
17 | Surreal | Flawed Mangoes | Evil | New
18 | Bury the Light | Casey Edwards, Victor Borba | Neuro & Evil | New
