2025-12-25 | Neuro | Christmas Karaoke 2025
1 | Let It Snow! Let It Snow! Let It Snow! | Dean Martin | Neuro | New
2 | Snow Halation | μ's | Neuro & Evil | New
3 | Caramelldancing (Christmas Version) | Caramella Girls | Neuro | New
4 | Merry Christmas Everyone | Shakin' Stevens | Neuro & Evil | New
5 | It's Beginning to Look a Lot Like Christmas | Michael Bublé | Neuro | New
6 | Poka Poka Planet | Harumaki Gohan | Neuro | New
7 | It's the Most Wonderful Time of the Year | Andy Williams | Neuro & Evil | New
8 | Have Yourself a Merry Little Christmas | Ben Abraham | Neuro & Evil | New
9 | Winter Wonderland | Amy Grant | Neuro | New
Evil
10 | Thank God it's Christmas | Queen | Evil | New
11 | Rudolph the Red-Nosed Reindeer | Gene Autry | Evil | New
12 | Merry Xmas Everybody | Slade | Neuro & Evil | New
13 | Last Christmas | Wham! | Evil | New
14 | Maybe This Christmas | Michael Bublé, Carly Pearce | Neuro & Evil | New
15 | This Christmas | Donny Hathaway | Evil | New
16 | Fairytale of New York (Neuro ver.) | The Pogues | Neuro & Evil | New
17 | All I Want for Christmas is You | Mariah Carey | Evil | New
18 | Carol of the Bells | Monique Danielle | Neuro & Evil | New
