2026-01-01 | Neuro | New Years Day 2026 Karaoke
1 | Cheerleader | Porter Robinson | Neuro
2 | Fortress | ILLENIUM | Neuro
3 | Self Control | Laura Branigan | Neuro
4 | Meltdown | iroha(sasaki) | Neuro
5 | I'm Still Standing | Elton John | Neuro
6 | Hold the Line | Toto | Neuro
7 | World's Smallest Violin | AJR | Neuro
8 | My Favourite Game | The Cardigans | Neuro
9 | BIRDS OF A FEATHER | Billie Eilish | Neuro & Evil
10 | Rain of Stars | nelward | Neuro
Evil
11 | Control | Halsey | Evil
12 | Come as You Are | Nirvana | Evil
13 | I Can't Decide | Scissor Sisters | Evil
14 | Just Pretend | BAD OMENS | Evil
15 | Don't Look Down | Ellie Minibot | Evil
16 | Sinners | Barns Courtney | Evil
17 | I Knew You Were Trouble | Taylor Swift | Evil
18 | Livin' La Vida Loca | Ricky Martin | Evil
19 | Petals, and the Voices Which Trail Behind | avaraya | Evil
20 | PONPON SHIT | Namakopuri, Us Cracks | Neuro & Evil
