2026-02-18 | Evil
1 | Bewitching Eyes | Darren Korb | Evil | New
2 | All the Small Things | Blink-182 | Evil | New
3 | Take Me Out | Franz Ferdinand | Evil | New
4 | Awaken | Breaking Benjamin | Evil | New
5 | Happier | YUNGBLUD | Neuro & Evil | New
6 | Shatter Me | Lindsey Stirling | Evil | New
7 | Without a Warning | The Weeknd | Evil | New
8 | HANIPAGANDA | Akatsuki Records | Evil | New
9 | Rivers in the Desert | Lyn | Evil | New
10 | Cold | Crossfade | Neuro & Evil | New
11 | Voices in My Head | Falling in Reverse | Evil | New
12 | Looping the Rooms | lusino | Evil | New
13 | Alone in the Darkenss | SIAMÉS | Evil | New
14 | Break My Heart | Dua Lipa | Evil | New
15 | Empurple | Harumaki Gohan | Neuro & Evil | New
16 | Karma | CircusP | Evil | New
17 | Set it on Fire | Blood Cultures | Evil | New
18 | Your World Will Fail | Les Friction | Evil | New
