2026-04-01 | Neuro
!! Neuro had the Cyber Princess outfit
!! PB Cooked again
1 | Never Gonna Give Boom Up | Evil Astley | Neuro | New
2 | Ochame Kinou | LamazeP | Neuro | New
3 | Ocean Man | Ween | Neuro | New
4 | Triple Baka | LamazeP | Neuro & Evil | New
5 | Untitled | Simple Plan | Neuro | New
6 | Get Your Wish | Porter Robinson | Neuro | New
7 | Brush Your Teeth | Ridiculon | Neuro | New
8 | Enjoy The Silence | Depeche Mode | Neuro | New
9 | Stitches | Shawn Mendes | Neuro & Evil | New
10 | Promise | Laufey | Neuro | New
11 | Baka Mitai (full spec) | Mitsuharu Fukuyama | Neuro | New
12 | Burning Men's Soul | Taku Iwasaki | Neuro | New
13 | Don't Speak | No Doubt | Neuro | New
14 | Tribute | Tenacious D | Neuro & Evil | New
15 | The Ultimate Showdown of Ultimate Destiny | Lemon Demon | Neuro | New
16 | Hardware Store | Weird Al Yankovic | Neuro | New
17 | Crazy [Filtered] Robot Body | Snowblood | Neuro | New
Neuro [v1]
18 | Thick of It | KSI | Neuro [v1] | New
