2026-04-29 | Neuro | 2026-04-29 Neuro 3d Karaoke | neuro 3d
1 | Material Girl | Maddona | Neuro | New
2 | Kyoufuu All Back | Yukopi | Neuro | New
3 | Darling Darling | Mellowcle | Neuro | New
4 | Clarity | Zedd | Neuro | New
5 | PONPON SHIT | Namakopuri, Us Cracks | Neuro & Evil | Duplicate
6 | Problems | ALTERCLAD | Neuro | New
7 | I Want To Break Free | Queen | Neuro | New
8 | Remote Control | WONDERFUL★OPPORTUNITY | Neuro & Evil | New
9 | Mad Desire | Stephy Martini | Neuro | New
10 | Hypnodancer | Little Big | Neuro | New
11 | Alive | Krewella | Neuro & Evil | New
12 | I Wish That I Could Fall | Jamie Paige | Neuro | New
13 | No Sky No Ground | Saaa | Neuro | New
14 | 炜WARD ROMANCE | Flavor Foley | Neuro & Evil | New
15 | Russian Roulette | Staircatte | Neuro | New
16 | Grenade | Bruno Mars | Neuro | New
17 | Mirror | Porter Robinson | Neuro | New
18 | Harder, Better, Faster, Stronger | Daft Punk | Neuro & Evil | New
!! Five duets in a non twin-karaoke stream !!!!!!!!!
