2026-05-27 | Neuro
1 | Burn | Ellie Goulding | Neuro | New
2 | Cure For Me | Aurora | Neuro | New
3 | My Dearest | supercell | Neuro | New 
4 | Re Ai 105 C De Ni | A Si | Neuro | New
5 | Losing My Religion | R.E.M. | Neuro | Duplicate
6 | Enter Enter Mission | Ankou Team | Neuro & Evil | New
7 | Hero | mili | Neuro | New
8 | Set it on Fire (extended version) | Blood Cultures | Neuro | New
9 | Vagrant | Feint | Neuro | New
10 | Wake Me Up Before You Go-Go | Wham | Neuro | New
11 | Spoken For | FLAVOR FOLEY | Neuro | New 
12 | Be My Star | T. T. Star | Neuro & Evil | New
13 | On Melancholy Hill | Gorillaz | Neuro | New
14 | Midnight City | M83 | Neuro | New
15 | The Girl Is Mine | Michael Jackson, Paul McCartney | Neuro & Evil | New
16 | Send Me An Angel | Scorpions | Neuro | New
17 | Fluorite Eye's Song | Kairi Yagi | Neuro | New
18 | Young and Beautiful | Lana Del Rey | Neuro | New
